mi_p050 mf_p050 mi_p025 mf_p025 mi_z000 mf_z000 mi_m025 mf_m025 mi_m050 mf_m050 mi_m075 mf_m075 mi_m100 mf_m100 mi_m125 mf_m125 mi_m150 mf_m150 mi_m175 mf_m175 mi_m200 mf_m200 mi_m250 mf_m250 mi_m300 mf_m300 mi_m350 mf_m350 mi_m400 mf_m400
3.4 0.8556 3.0 0.648 3.0 0.6592 3.2 0.7324 3.0 0.7416 3.0 0.7888 3.0 0.814 3.2 0.844 3.0 0.8308 3.0 0.8312 3.8 0.9045 6.2 1.1893 6.2 1.1743 0.0 0.0 6.0 1.1051
3.6 0.8958 3.2 0.6709 3.2 0.6891 3.4 0.7743 3.2 0.7867 3.2 1.0042 3.2 0.8337 3.4 0.8605 3.2 0.8505 3.2 0.851 4.0 0.9173 6.4 1.4776 6.4 1.4741 0.0 0.0 6.2 1.1148
3.8 0.9327 3.4 0.8311 3.4 0.724 3.6 0.8127 3.4 0.8198 3.4 0.8381 3.4 0.8545 3.6 0.8779 3.4 0.8673 3.4 0.8712 4.2 0.9228 0.0 0.0 0.0 0.0 0.0 0.0 6.4 1.4323
4.2 0.8014 3.6 0.8932 3.6 0.7613 3.8 0.8326 3.6 0.8372 3.6 0.857 3.6 0.8701 3.8 0.8939 3.6 0.8839 3.6 0.8881 4.4 0.9427 0.0 0.0 0.0 0.0 0.0 0.0 6.6 1.4881
4.4 1.0069 3.8 0.9342 3.8 0.7974 4.0 0.8517 3.8 0.8554 3.8 0.8722 3.8 0.8833 4.0 0.908 3.8 0.9004 3.8 0.8994 4.6 0.9696 0.0 0.0 0.0 0.0 0.0 0.0 6.8 1.5457
4.6 1.0194 4.0 0.9741 4.0 0.8198 4.2 0.8651 4.0 0.8696 4.0 0.8869 4.0 0.8988 4.2 0.9229 4.0 0.9142 4.0 0.9156 4.8 0.9787 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4.8 1.0373 4.2 0.8093 4.2 1.0316 4.4 0.8774 4.2 0.8829 4.2 0.9029 4.2 0.914 4.4 0.9408 4.2 0.9313 4.2 0.9358 5.0 1.0071 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.0 1.0494 4.4 1.0203 4.4 1.0551 4.6 1.1054 4.4 0.8985 4.4 0.9202 4.4 0.9334 4.6 0.9502 4.4 0.9367 4.4 0.9418 5.2 1.0237 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.2 0.8649 4.6 0.8397 4.6 0.8681 4.8 0.9087 4.6 0.9141 4.6 0.9416 4.6 0.9394 4.8 0.9748 4.6 1.1432 4.6 1.1569 5.4 1.0484 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.4 0.8743 4.8 1.0513 4.8 0.8807 5.0 0.9264 4.8 0.93 4.8 0.9372 4.8 0.9555 5.0 0.9893 4.8 0.984 4.8 0.9797 5.6 1.074 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.6 1.0903 5.0 1.0729 5.0 0.8979 5.2 0.9382 5.0 0.9454 5.0 0.9619 5.0 0.9762 5.2 1.0113 5.0 0.9972 5.0 1.0008 5.8 1.3464 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.8 0.8961 5.2 1.0944 5.2 0.9128 6.2 1.2856 5.2 0.9498 5.2 0.9875 5.2 1.006 5.4 1.0317 5.2 1.0191 5.2 1.0256 6.0 1.1627 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.0 1.1223 5.4 0.894 5.4 0.9288 6.4 1.061 5.4 0.9716 5.4 0.9986 5.4 1.0184 5.6 1.0622 5.4 1.0392 5.4 1.0528 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.2 1.1447 5.6 1.1198 5.6 0.9439 6.6 1.3335 5.6 0.9881 5.6 1.0195 5.6 1.0445 5.8 1.083 5.6 1.0686 5.6 1.0823 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.4 1.1659 5.8 0.9233 6.0 1.2033 6.8 1.1381 5.8 1.0118 5.8 1.0602 5.8 1.0689 6.0 1.1509 5.8 1.1076 5.8 1.1084 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.6 0.954 6.0 0.9349 6.2 0.9974 7.0 1.1503 6.0 1.0359 6.0 1.073 6.0 1.1098 6.2 1.421 6.0 1.157 6.0 1.1563 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.8 0.9723 6.2 1.1689 6.4 1.0241 0.0 0.0 6.2 1.0678 6.2 1.1257 6.2 1.1548 0.0 0.0 6.2 1.4312 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.0 0.9886 6.4 0.9712 6.6 1.2786 0.0 0.0 6.4 1.1019 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.2 1.2478 6.6 1.2238 6.8 1.06 0.0 0.0 6.6 1.1516 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.4 1.026 6.8 1.2507 7.2 1.1333 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 7.0 1.0296 7.4 1.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 7.2 1.3035 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 7.4 1.074 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
